url,categories,category_percentages,main_category,cleanup_message
https://en.wikipedia.org/wiki/%C3%89cole_de_management_de_Normandie,"['Grandes écoles', 'Business schools in France', 'Universities and colleges in Caen', 'Educational institutions established in 1871', '1871 establishments in France', '2014 establishments in England']","{'Science': 0.35, 'Art': 48.61, 'Culture': 48.61, 'History': 1.04, 'Politics': 0.35, 'Environment': 0.35, 'Technology': 0.35, 'Economics': 0.35}",Art,"[""This article may have been created or edited in return for undisclosed payments , a violation of Wikipedia's terms of use . It may require cleanup to comply with Wikipedia's content policies , particularly neutral point of view . ( January 2025 )"", 'This section may contain unverified or indiscriminate information in embedded lists . Please help clean up the lists by removing items or incorporating them into the text of the article. ( August 2020 )']"
https://en.wikipedia.org/wiki/%C3%93_h%C3%81dhmaill,"['Surnames', 'Irish clans', 'Irish-language masculine surnames', 'Surnames of Irish origin', 'Patronymic surnames']","{'Science': 0.43, 'Art': 48.29, 'Culture': 48.29, 'History': 1.28, 'Politics': 0.43, 'Environment': 0.43, 'Technology': 0.43, 'Economics': 0.43}",Art,['This article may contain unverified or indiscriminate information in embedded lists . Please help clean up the lists by removing items or incorporating them into the text of the article. ( December 2021 )']
https://en.wikipedia.org/wiki/%C4%90inh_Xu%C3%A2n_T%E1%BB%ADu,"['Vietnamese writers', 'Vietnamese male poets', '1925 births', '1996 deaths', '20th-century Vietnamese poets', '20th-century Vietnamese male writers', 'People from Hà Tĩnh province']","{'Science': 0.31, 'Art': 1.54, 'Culture': 31.92, 'History': 48.15, 'Politics': 17.15, 'Environment': 0.31, 'Technology': 0.31, 'Economics': 0.31}",History,['This section may contain unverified or indiscriminate information in embedded lists . Please help clean up the lists by removing items or incorporating them into the text of the article. ( June 2022 )']
https://en.wikipedia.org/wiki/2008_UCF_Knights_football_team,"['2008 Conference USA football season', 'UCF Knights football seasons', '2008 in sports in Florida', '2008 in Orlando, Florida']","{'Science': 0.43, 'Art': 24.34, 'Culture': 24.34, 'History': 25.24, 'Politics': 0.43, 'Environment': 24.38, 'Technology': 0.43, 'Economics': 0.43}",History,['This section may contain unverified or indiscriminate information in embedded lists . Please help clean up the lists by removing items or incorporating them into the text of the article. ( November 2019 )']
https://en.wikipedia.org/wiki/2015_in_Philippine_television,"['2015 in Philippine television', 'Television in the Philippines by year', 'Philippine television-related lists']","{'Science': 0.56, 'Art': 17.78, 'Culture': 17.78, 'History': 31.67, 'Politics': 0.56, 'Environment': 30.56, 'Technology': 0.56, 'Economics': 0.56}",History,"[""Some of this article's listed sources may not be reliable . Please help improve this article by looking for better, more reliable sources. Unreliable citations may be challenged and removed. ( February 2025 ) ( Learn how and when to remove this message )"", 'The topic of this article may not meet Wikipedia\'s general notability guideline . Please help to demonstrate the notability of the topic by citing reliable secondary sources that are independent of the topic and provide significant coverage of it beyond a mere trivial mention. If notability cannot be shown, the article is likely to be merged , redirected , or deleted . Find sources: ""2015 in Philippine television"" – news · newspapers · books · scholar · JSTOR ( February 2025 ) ( Learn how and when to remove this message )', 'This article has multiple issues. Please help improve it or discuss these issues on the talk page . ( Learn how and when to remove these messages ) This article may contain unverified or indiscriminate information in embedded lists . Please help clean up the lists by removing items or incorporating them into the text of the article. ( April 2015 ) The topic of this article may not meet Wikipedia\'s general notability guideline . Please help to demonstrate the notability of the topic by citing reliable secondary sources that are independent of the topic and provide significant coverage of it beyond a mere trivial mention. If notability cannot be shown, the article is likely to be merged , redirected , or deleted . Find sources: ""2015 in Philippine television"" – news · newspapers · books · scholar · JSTOR ( February 2025 ) ( Learn how and when to remove this message ) Some of this article\'s listed sources may not be reliable . Please help improve this article by looking for better, more reliable sources. Unreliable citations may be challenged and removed. ( February 2025 ) ( Learn how and when to remove this message ) ( Learn how and when to remove this message )', ""This article may contain an excessive amount of intricate detail that may interest only a particular audience . Please help by spinning off or relocating any relevant information, and removing excessive detail that may be against Wikipedia's inclusion policy . ( June 2015 ) ( Learn how and when to remove this message )"", 'This article may contain unverified or indiscriminate information in embedded lists . Please help clean up the lists by removing items or incorporating them into the text of the article. ( April 2015 )']"
https://en.wikipedia.org/wiki/2017_in_Philippine_television,"['2017 in Philippine television', 'Television in the Philippines by year', 'Philippine television-related lists']","{'Science': 0.56, 'Art': 17.78, 'Culture': 17.78, 'History': 31.67, 'Politics': 0.56, 'Environment': 30.56, 'Technology': 0.56, 'Economics': 0.56}",History,"[""Some of this article's listed sources may not be reliable . Please help improve this article by looking for better, more reliable sources. Unreliable citations may be challenged and removed. ( February 2025 ) ( Learn how and when to remove this message )"", 'The topic of this article may not meet Wikipedia\'s general notability guideline . Please help to demonstrate the notability of the topic by citing reliable secondary sources that are independent of the topic and provide significant coverage of it beyond a mere trivial mention. If notability cannot be shown, the article is likely to be merged , redirected , or deleted . Find sources: ""2017 in Philippine television"" – news · newspapers · books · scholar · JSTOR ( February 2025 ) ( Learn how and when to remove this message )', 'This article has multiple issues. Please help improve it or discuss these issues on the talk page . ( Learn how and when to remove these messages ) This article may contain unverified or indiscriminate information in embedded lists . Please help clean up the lists by removing items or incorporating them into the text of the article. ( August 2017 ) This article needs additional citations for verification . Please help improve this article by adding citations to reliable sources . Unsourced material may be challenged and removed. Find sources: ""2017 in Philippine television"" – news · newspapers · books · scholar · JSTOR ( February 2017 ) ( Learn how and when to remove this message ) The topic of this article may not meet Wikipedia\'s general notability guideline . Please help to demonstrate the notability of the topic by citing reliable secondary sources that are independent of the topic and provide significant coverage of it beyond a mere trivial mention. If notability cannot be shown, the article is likely to be merged , redirected , or deleted . Find sources: ""2017 in Philippine television"" – news · newspapers · books · scholar · JSTOR ( February 2025 ) ( Learn how and when to remove this message ) Some of this article\'s listed sources may not be reliable . Please help improve this article by looking for better, more reliable sources. Unreliable citations may be challenged and removed. ( February 2025 ) ( Learn how and when to remove this message ) ( Learn how and when to remove this message )', 'This article may contain unverified or indiscriminate information in embedded lists . Please help clean up the lists by removing items or incorporating them into the text of the article. ( August 2017 )', 'This article needs additional citations for verification . Please help improve this article by adding citations to reliable sources . Unsourced material may be challenged and removed. Find sources: ""2017 in Philippine television"" – news · newspapers · books · scholar · JSTOR ( February 2017 ) ( Learn how and when to remove this message )']"
https://en.wikipedia.org/wiki/2022_North_American_heat_waves,"['2022 in the United States', '2022 meteorology', '2022 heat waves']","{'Science': 0.93, 'Art': 4.63, 'Culture': 4.63, 'History': 2.78, 'Politics': 0.93, 'Environment': 0.93, 'Technology': 42.59, 'Economics': 42.59}",Technology,"[""This article may be better presented in list format to meet Wikipedia's quality standards . Please help improve this article by converting it into a standalone or embedded list. ( December 2022 )""]"
https://en.wikipedia.org/wiki/2025_NBA_playoffs,"['2024–25 NBA season', 'NBA playoffs', 'Current sports events']","{'Science': 0.69, 'Art': 47.22, 'Culture': 47.22, 'History': 2.08, 'Politics': 0.69, 'Environment': 0.69, 'Technology': 0.69, 'Economics': 0.69}",Art,"['This section contains a list of miscellaneous information . Please relocate any relevant information into other sections or articles. ( May 2025 )', ""This section has multiple issues. Please help improve it or discuss these issues on the talk page . ( Learn how and when to remove these messages ) This section needs additional citations for verification . Please help improve this article by adding citations to reliable sources in this section. Unsourced material may be challenged and removed. ( May 2025 ) ( Learn how and when to remove this message ) This section may contain unverified or indiscriminate information in embedded lists . Please help clean up the lists by removing items or incorporating them into the text of the article. ( May 2025 ) This section possibly contains original research . Please improve it by verifying the claims made and adding inline citations . Statements consisting only of original research should be removed. ( May 2025 ) ( Learn how and when to remove this message ) This section contains a list of miscellaneous information . Please relocate any relevant information into other sections or articles. ( May 2025 ) This section's tone or style may not reflect the encyclopedic tone used on Wikipedia . See Wikipedia's guide to writing better articles for suggestions. ( May 2025 ) ( Learn how and when to remove this message ) ( Learn how and when to remove this message )"", 'This section may contain unverified or indiscriminate information in embedded lists . Please help clean up the lists by removing items or incorporating them into the text of the article. ( May 2025 )', 'This section needs additional citations for verification . Please help improve this article by adding citations to reliable sources in this section. Unsourced material may be challenged and removed. ( May 2025 ) ( Learn how and when to remove this message )', 'This section possibly contains original research . Please improve it by verifying the claims made and adding inline citations . Statements consisting only of original research should be removed. ( May 2025 ) ( Learn how and when to remove this message )', ""This section's tone or style may not reflect the encyclopedic tone used on Wikipedia . See Wikipedia's guide to writing better articles for suggestions. ( May 2025 ) ( Learn how and when to remove this message )""]"
https://en.wikipedia.org/wiki/77th_Armor_Regiment,"['Armored regiments of the United States Army', 'Military units and formations established in 1941']","{'Science': 0.56, 'Art': 2.78, 'Culture': 38.38, 'History': 46.67, 'Politics': 9.96, 'Environment': 0.56, 'Technology': 0.56, 'Economics': 0.56}",History,"['This article has multiple issues. Please help improve it or discuss these issues on the talk page . ( Learn how and when to remove these messages ) This article needs additional citations for verification . Please help improve this article by adding citations to reliable sources . Unsourced material may be challenged and removed. Find sources: ""77th Armor Regiment"" – news · newspapers · books · scholar · JSTOR ( December 2012 ) ( Learn how and when to remove this message ) This article may contain unverified or indiscriminate information in embedded lists . Please help clean up the lists by removing items or incorporating them into the text of the article. ( May 2020 ) This article is in list format but may read better as prose . You can help by converting this article , if appropriate. Editing help is available. ( May 2020 ) ( Learn how and when to remove this message )', 'This article is in list format but may read better as prose . You can help by converting this article , if appropriate. Editing help is available. ( May 2020 )', 'This article may contain unverified or indiscriminate information in embedded lists . Please help clean up the lists by removing items or incorporating them into the text of the article. ( May 2020 )', 'This article needs additional citations for verification . Please help improve this article by adding citations to reliable sources . Unsourced material may be challenged and removed. Find sources: ""77th Armor Regiment"" – news · newspapers · books · scholar · JSTOR ( December 2012 ) ( Learn how and when to remove this message )', 'This section needs expansion . You can help by adding to it . ( June 2008 )']"
https://en.wikipedia.org/wiki/7flix,"['Seven Network', 'Movie channels in Australia', 'Digital terrestrial television in Australia', 'English-language television stations in Australia', 'Television channels and stations established in 2016', '2016 establishments in Australia']","{'Science': 0.26, 'Art': 42.43, 'Culture': 42.43, 'History': 7.3, 'Politics': 0.26, 'Environment': 6.78, 'Technology': 0.26, 'Economics': 0.26}",Art,"['This section may contain unverified or indiscriminate information in embedded lists . Please help clean up the lists by removing items or incorporating them into the text of the article. ( April 2017 )', 'This section possibly contains original research . Relevant discussion may be found on Talk:7flix . Please improve it by verifying the claims made and adding inline citations . Statements consisting only of original research should be removed. ( April 2017 ) ( Learn how and when to remove this message )']"
