,title,url,cleanup_message,categories
0,Dorothea Brande,https://en.wikipedia.org/wiki/Dorothea_Brande,This article has multiple issues. Please help improve it or discuss these issues on the talk page . ( Learn how and when to remove these messages ) This article may need to be rewritten to comply with Wikipedia's quality standards . You can help . The talk page may contain suggestions. ( November 2010 ) This article may be in need of reorganization to comply with Wikipedia's layout guidelines . Please help by editing the article to make improvements to the overall structure. ( November 2010 ) ( Learn how and when to remove this message ) This article contains a list that has not been properly sorted . See MOS:LISTSORT for more information. Please improve this article if you can. ( November 2010 ) ( Learn how and when to remove this message ),"['Illinois Institute of Technology alumni', '1893 births', '1948 deaths', 'Writers from Chicago', 'American print editors', 'University of Chicago alumni', 'University of Michigan alumni', 'Women print editors']"
1,Dorothea Brande,https://en.wikipedia.org/wiki/Dorothea_Brande,This article may need to be rewritten to comply with Wikipedia's quality standards . You can help . The talk page may contain suggestions. ( November 2010 ),"['Illinois Institute of Technology alumni', '1893 births', '1948 deaths', 'Writers from Chicago', 'American print editors', 'University of Chicago alumni', 'University of Michigan alumni', 'Women print editors']"
2,Dorothea Brande,https://en.wikipedia.org/wiki/Dorothea_Brande,This article may be in need of reorganization to comply with Wikipedia's layout guidelines . Please help by editing the article to make improvements to the overall structure. ( November 2010 ) ( Learn how and when to remove this message ),"['Illinois Institute of Technology alumni', '1893 births', '1948 deaths', 'Writers from Chicago', 'American print editors', 'University of Chicago alumni', 'University of Michigan alumni', 'Women print editors']"
3,Dorothea Brande,https://en.wikipedia.org/wiki/Dorothea_Brande,This article contains a list that has not been properly sorted . See MOS:LISTSORT for more information. Please improve this article if you can. ( November 2010 ),"['Illinois Institute of Technology alumni', '1893 births', '1948 deaths', 'Writers from Chicago', 'American print editors', 'University of Chicago alumni', 'University of Michigan alumni', 'Women print editors']"
4,DisplayPort,https://en.wikipedia.org/wiki/DisplayPort,"This article may be too technical for most readers to understand . Relevant discussion may be found on the talk page . Please help improve it to make it understandable to non-experts , without removing the technical details. ( March 2024 ) ( Learn how and when to remove this message )","['Digital display connectors', 'VESA', 'Computer connectors', 'Serial buses']"
5,DisplayPort,https://en.wikipedia.org/wiki/DisplayPort,"This section needs additional citations for verification . Please help improve this article by adding citations to reliable sources in this section. Unsourced material may be challenged and removed. Find sources: ""DisplayPort"" – news · newspapers · books · scholar · JSTOR ( April 2022 ) ( Learn how and when to remove this message )","['Digital display connectors', 'VESA', 'Computer connectors', 'Serial buses']"
6,DisplayPort,https://en.wikipedia.org/wiki/DisplayPort,This article may contain unverified or indiscriminate information in embedded lists . Please help clean up the lists by removing items or incorporating them into the text of the article. ( November 2010 ),"['Digital display connectors', 'VESA', 'Computer connectors', 'Serial buses']"
7,Atínale al precio,https://en.wikipedia.org/wiki/At%C3%ADnale_al_precio,"This article has multiple issues. Please help improve it or discuss these issues on the talk page . ( Learn how and when to remove these messages ) This article needs additional citations for verification . Please help improve this article by adding citations to reliable sources . Unsourced material may be challenged and removed. Find sources: ""Atínale al precio"" – news · newspapers · books · scholar · JSTOR ( November 2018 ) ( Learn how and when to remove this message ) This article may contain unverified or indiscriminate information in embedded lists . Please help clean up the lists by removing items or incorporating them into the text of the article. ( December 2010 ) ( Learn how and when to remove this message )","['Las Estrellas original programming', 'The Price Is Right', 'Mexican game shows', 'Television series by Fremantle (company)', 'Mexican television series based on American television series']"
8,Atínale al precio,https://en.wikipedia.org/wiki/At%C3%ADnale_al_precio,"This article needs additional citations for verification . Please help improve this article by adding citations to reliable sources . Unsourced material may be challenged and removed. Find sources: ""Atínale al precio"" – news · newspapers · books · scholar · JSTOR ( November 2018 ) ( Learn how and when to remove this message )","['Las Estrellas original programming', 'The Price Is Right', 'Mexican game shows', 'Television series by Fremantle (company)', 'Mexican television series based on American television series']"
9,Atínale al precio,https://en.wikipedia.org/wiki/At%C3%ADnale_al_precio,This article may contain unverified or indiscriminate information in embedded lists . Please help clean up the lists by removing items or incorporating them into the text of the article. ( December 2010 ),"['Las Estrellas original programming', 'The Price Is Right', 'Mexican game shows', 'Television series by Fremantle (company)', 'Mexican television series based on American television series']"
